Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
Wanderu,https://angel.co/company/wanderu,5,Sep '12,Boston,Online Travel,http://www.wanderu.com,11-50,Series A,8050000
GreatHorn,https://angel.co/company/greathorn,5,Mar '15,Boston,Internet Infrastructure,http://www.greathorn.com,1-10,Series A,8550000
Quantopian,https://angel.co/company/quantopian,5,Sep '11,Boston,Trading,https://www.quantopian.com,11-50,Series C,46700000
Fancred,https://angel.co/company/fancred,5,Aug '12,Boston,Communities,http://fancred.com,1-10,Seed,4500000
Spindle,https://angel.co/company/spindle,5,May '12,Boston,Location Based Services,http://spindle.com,1-10,Acquired,2300000
ViralGains,https://angel.co/company/viralgains,5,Aug '12,Boston,Mobile Advertising,http://www.viralgains.com,11-50,Series A,15200000
DataRobot,https://angel.co/company/datarobot,5,Mar '13,Boston,Predictive Analytics,http://www.datarobot.com,501-1000,Series B,57418000
Neighborly,https://angel.co/company/neighborly,5,Sep '12,San Francisco,Impact Investing,https://neighborly.com/,11-50,"",30500000
Lovepop,https://angel.co/company/lovepop,5,Jun '15,Boston,Retail,https://lovepop.com,11-50,Series A,21100000
Crayon,https://angel.co/company/crayon,5,Feb '15,Boston,Brand Marketing,https://www.crayon.co,51-200,Series A,15850000
Salsify,https://angel.co/company/salsify,5,Sep '13,Boston,Manufacturing,https://www.salsify.com/,201-500,Series C,54600000
Renoviso,https://angel.co/company/renoviso,5,Apr '15,Boston,Home Renovation,https://renoviso.com,11-50,Series A,11900000
Tapjoy,https://angel.co/company/tapjoy,5,Apr '12,San Francisco,Mobile Advertising,http://www.tapjoy.com,201-500,Acquired,70500000
Apptopia,https://angel.co/company/apptopia,5,May '12,Boston,Big Data Analytics,http://apptopia.com,51-200,Seed,6005000
Bedrock Data,https://angel.co/company/bedrock-data,5,May '14,Boston,Data Integration,http://www.bedrockdata.com,11-50,Seed,3100000
Moltin,https://angel.co/company/moltin,5,Dec '13,Newcastle upon Tyne,Developer APIs,https://moltin.com,11-50,Seed,2120000
VentureApp,https://angel.co/company/ventureapp,5,Jul '15,Boston,Boston,http://www.ventureapp.com,11-50,Seed,4035500
