,Adress,Square Feet,Punctuation,Startups,Starbucks,Old companies,Schools,Night bars,Vegan Rest,Airport,Location,Reference
16,"40 Court St, Boston, MA 02108, USA","4,000",29.0,10.0,12.5,-10.0,1.5,10.0,5.0,4.16538866183103 km,"[-71.0592945, 42.3588496]",https://42floors.com//us/ma/boston/40-court-st?listings=413793
43,"30 Kneeland St, Boston, MA 02111, USA",880,27.5,8.0,10.0,-9.0,4.5,9.0,5.0,4.6111167651759235 km,"[-71.06187899999999, 42.3508642]",https://42floors.com//us/ma/boston/30-kneeland-st?listings=1655568
25,"201 Washington St, Boston, MA 02108, USA","5,980",27.5,9.0,12.5,-10.0,1.5,10.0,4.5,4.091570572360885 km,"[-71.058315, 42.3585846]",https://42floors.com//us/ma/boston/1-boston-pl?listings=1691518
12,"5 Broad St, Boston, MA 02110, USA","11,050",27.25,9.0,12.5,-9.0,2.25,9.0,3.5,3.8058028687439767 km,"[-71.0548501, 42.3588513]",https://42floors.com//us/ma/boston/75-state-st?listings=1703595
22,"38 Chauncy St, Boston, MA 02111, USA","6,560",27.0,10.0,11.25,-10.0,2.25,10.0,3.5,4.329325472475174 km,"[-71.059648, 42.3538195]",https://42floors.com//us/ma/boston/38-chauncy-st?listings=1701986
56,"420 Boylston St, Boston, MA 02116, USA","3,920",27.0,9.0,12.5,-9.0,4.5,5.0,5.0,5.4344974428186426 km,"[-71.072549, 42.351083]",https://42floors.com//us/ma/boston/420-boylston-st?listings=1647141
36,"18 Tremont St, Boston, MA 02108, USA","1,660",27.0,9.0,12.5,-10.0,1.5,9.0,5.0,4.193481266029268 km,"[-71.05962459999999, 42.3587826]",https://42floors.com//us/ma/boston/18-tremont-st?listings=1671382
62,"65 Harrison Ave, Boston, MA 02111, USA",530,27.0,9.0,10.0,-9.0,4.5,8.0,4.5,4.557701136401338 km,"[-71.0614302, 42.3513453]",https://42floors.com//us/ma/boston/65-harrison-ave?listings=1631251
15,"111 Devonshire St, Boston, MA 02108, USA","3,360 - 5,550",26.75,10.0,12.5,-10.0,0.75,9.0,4.5,4.065637246500096 km,"[-71.05762310000001, 42.3573021]",https://42floors.com//us/ma/boston/111-devonshire-st?listings=684430%2C587818%2C874353
18,"84 State St, Boston, MA 02109, USA","10,450",26.75,8.0,12.5,-9.0,2.25,9.0,4.0,3.863713108254033 km,"[-71.0556458, 42.3591529]",https://42floors.com//us/ma/boston/84-state-st?listings=1502694
42,"255 State St, Boston, MA 02109, USA","19,940",26.75,9.0,12.5,-7.0,2.25,8.0,2.0,3.511837054493131 km,"[-71.0513553, 42.3593857]",https://42floors.com//us/ma/boston/255-state-st?listings=1656832
