Name,Profile URL,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
SpareFoot,https://angel.co/company/sparefoot,5,Feb '11,Austin,B2B,http://www.sparefoot.com,51-200,"",49350000
Synack,https://angel.co/company/synack,5,Mar '13,Austin,Crowdsourcing,http://www.synack.com,51-200,Series A,34000000
LawnStarter,https://angel.co/company/lawnstarter,5,Dec '13,Austin,Bridging Online and Offline,http://www.lawnstarter.com,11-50,Seed,7225500
Boxer,https://angel.co/company/boxer,5,Sep '12,Austin,Messaging,http://www.getboxer.com,1-10,Acquired,3800000
Edgecase (formerly Compare Metrics),https://angel.co/company/edgecase-formerly-compare-metrics,5,Jul '11,Austin,Semantic Search,http://edgecase.io,11-50,Acquired,16275000
Cratejoy,https://angel.co/company/cratejoy,5,Dec '13,Austin,E-Commerce Platforms,http://www.cratejoy.com,11-50,Series A,4000000
OwnLocal,https://angel.co/company/ownlocal,5,May '11,Austin,Advertising Platforms,http://OwnLocal.com,51-200,Seed,3479000
Pingboard,https://angel.co/company/pingboard,5,Mar '14,Austin,Human Resources,https://pingboard.com,11-50,Seed,8450000
Spanning,https://angel.co/company/spanning,5,May '12,Austin,Google Apps,http://spanning.com,11-50,Series B,9000000
Granify,https://angel.co/company/granify,5,Jun '11,Austin,Optimization,http://www.granify.com,11-50,"",8500000
Riskpulse,https://angel.co/company/riskpulse,5,Aug '10,Austin,Supply Chain Management,http://riskpulse.com/home,11-50,"",2532500
SignUp.com (formerly VolunteerSpot),https://angel.co/company/volunteerspot,5,Sep '11,Austin,Bridging Online and Offline,http://SignUp.com,11-50,"",4100000
GameSalad,https://angel.co/company/gamesalad,5,Jun '12,Austin,Game,http://gamesalad.com/,1-10,"",7100000
Umbel,https://angel.co/company/umbel,5,Aug '11,Austin,Big Data,http://umbel.com,51-200,Series B,28420000
TrustRadius,https://angel.co/company/trustradius,5,Apr '13,Austin,Crowdsourcing,http://www.trustradius.com,1-10,Series A,5000000
Nuve,https://angel.co/company/nuve,5,Jan '13,Austin,Location Based Services,http://www.nuve.us,11-50,Series A,3861667
Phunware,https://angel.co/company/phunware,5,Dec '12,Austin,Mobile Advertising,http://www.phunware.com,51-200,Series E,78420000
Reaction,https://angel.co/company/reaction,5,Dec '11,Austin,Product Design,http://www.reactioninc.com,11-50,Series A,12540000
OneSpot,https://angel.co/company/onespot,5,Oct '12,Austin,Email Marketing,http://www.onespot.com,11-50,"",7482200
TrendKite,https://angel.co/company/trendkite,5,Sep '12,Austin,Social Media Monitoring,http://www.trendkite.com,1-10,Series D,36400000
ZeroCater,https://angel.co/company/zerocater,5,Feb '13,Austin,Restaurants,https://zerocater.com,201-500,"",5600000
Interior Define,https://angel.co/company/interior-define,5,Nov '13,Austin,Custom Retail,http://www.interiordefine.com,51-200,Seed,3000000
WP Engine,https://angel.co/company/wp-engine,5,Apr '11,Austin,Blogging Platforms,http://wpengine.com,201-500,Acquired,39200000
Chewse,https://angel.co/company/chewse,5,Jan '12,Austin,Bridging Online and Offline,https://www.chewse.com/,51-200,Series B,16000000
Carma,https://angel.co/company/carma-3,5,Sep '13,Austin,Sharing Economy,https://www.gocarma.com/,11-50,Series A,5600000
OutboundEngine,https://angel.co/company/outboundengine-1,5,Sep '13,Austin,Small and Medium Businesses,http://www.outboundengine.com,11-50,Series B,30000000
Punchh,https://angel.co/company/punchh,5,Aug '15,Austin,Restaurants,https://punchh.com,201-500,Series B,28135000
Octane AI,https://angel.co/company/octane-ai,5,Jun '16,Austin,Messaging,http://www.octaneai.com,11-50,Seed,3000000
Convey,https://angel.co/company/getconvey,5,Mar '14,Austin,Logistics Software,https://www.getconvey.com,11-50,Series B,14750000
sonarDesign,https://angel.co/company/sonardesign,5,Jan '13,Austin,Corporate Training,http://www.sonardesign.com,1-10,Seed,3850000
data.world,https://angel.co/company/datadotworld,5,Jul '16,Austin,Cloud Data Services,https://data.world,51-200,Series B,44700000
Favor,https://angel.co/company/favor,5,Jul '12,Austin,Location Based Services,http://www.favordelivery.com,11-50,Acquired,15000000
Self Financial,https://angel.co/company/self-lender,5,Sep '14,Austin,Consumer,https://www.self.inc,11-50,Series B,15500000
